Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A04,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1740,ddPCR Supermix for Probes (no dUTP),34800,,,1775,1707,11978,3533,1632,28,10346,3505,124,15511,,,,,,,,0.0765,,,0.0805,0.0725,7.11,,,7.45,6.76,1,1,2131,3222.9,1735.2,2884.1,,,,,1758,1723,,,,,,,0.0785,0.0745,,,7.28,6.93
A05,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1683,ddPCR Supermix for Probes (no dUTP),33660,,,1716,1651,12250,3851,19,6,12231,3845,0,16101,,,,,,,,0.00109,,,0.00152,0.00066,0.109,,,0.151,0.066,1,1,2159,3222.6,1729.5,2865.5,,,,,1700,1667,,,,,,,0.0013,0.00087,,,0.13,0.087
A06,Absolute Quantification,ABS,,Ch2Reference,TBP,Manual,2290,ddPCR Supermix for Probes (no dUTP),45800,,,2370,2230,5543,920,18,1,5525,919,2.18,6463,,,,,,,,0.0015,,,0.0022,0.0008,0.15,,,0.22,0.08,1,1,1934,3124.3,1715.9,2923.8,,,,,2330,2258,,,,,,,0.00186,0.00116,,,0.185,0.116
A07,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1672,ddPCR Supermix for Probes (no dUTP),33440,,,1707,1637,10481,3337,15,1,10466,3336,1.01,13818,,,,,,,,0.00082,,,0.00122,0.00041,0.081,,,0.122,0.041,1,1,2166,3277.7,1755.4,2910.1,,,,,1690,1654,,,,,,,0.00102,0.00061,,,0.102,0.061
A08,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1648,ddPCR Supermix for Probes (no dUTP),32960,,,1680,1617,12548,4103,2047,35,10501,4068,147,16651,,,,,,,,0.0954,,,0.0998,0.0909,8.71,,,9.08,8.33,1,1,2192,3305.9,1775,2928.6,,,,,1664,1632,,,,,,,0.0976,0.0931,,,8.9,8.52
A09,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1746,ddPCR Supermix for Probes (no dUTP),34920,,,1780,1713,12237,3587,18,7,12219,3580,0,15824,,,,,,,,0.00107,,,0.00149,0.00064,0.106,,,0.148,0.064,1,1,2173,3262.6,1754.5,2920.7,,,,,1764,1729,,,,,,,0.00128,0.00085,,,0.128,0.085
A10,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1799,ddPCR Supermix for Probes (no dUTP),35980,,,1835,1764,11861,3281,83,108,11778,3173,0,15142,,,,,,,,0.0083,,,0.0095,0.0071,0.82,,,0.94,0.71,1,1,2199,3303.1,1774.9,2972,,,,,1818,1781,,,,,,,0.0089,0.0077,,,0.88,0.76
A11,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,925,ddPCR Supermix for Probes (no dUTP),18500,,,947,904,7432,6214,11,8,7421,6206,0.124,13646,,,,,,,,0.0018,,,0.0026,0.001,0.18,,,0.26,0.1,1,1,2164,3285.6,1758.1,2590,,,,,937,914,,,,,,,0.00218,0.00136,,,0.217,0.136
A12,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1003,ddPCR Supermix for Probes (no dUTP),20060,,,1025,982,8765,6513,27,37,8738,6476,0,15278,,,,,,,,0.0049,,,0.0061,0.0037,0.49,,,0.61,0.37,1,1,2212,3369.6,1801.2,2701,,,,,1014,992,,,,,,,0.0055,0.0043,,,0.55,0.43
B01,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,634,ddPCR Supermix for Probes (no dUTP),12680,,,650,619,6646,9299,39,147,6607,9152,0,15945,,,,,,,,0.0218,,,0.0249,0.0186,2.13,,,2.43,1.83,1,1,2094,3187.7,1704.1,2322.5,,,,,642,627,,,,,,,0.0234,0.0201,,,2.28,1.97
